社区对,连接数量,总权重,平均权重,关系类型
4<->5,54,20.05,0.3712962962962963,依照 | 做出 | 包含 | 包含监管机构 | 包含责任方 | 履行 | 监管 | 规定行为
0<->5,24,9.65,0.40208333333333335,做出 | 包含 | 包含责任方 | 履行 | 执行 | 监管
1<->5,6,2.1,0.35000000000000003,包含 | 包含主体 | 监管
1<->6,4,0.8500000000000001,0.21250000000000002,包含 | 包含主体
0<->9,2,0.45,0.225,包含 | 履行
5<->6,2,0.5,0.25,包含
0<->4,2,0.6,0.3,做出
1<->4,1,1.0,1.0,监管
0<->3,1,0.2,0.2,包含主体
2<->8,1,0.25,0.25,包含
3<->10,1,0.25,0.25,包含
3<->7,1,0.25,0.25,包含
3<->5,1,0.25,0.25,包含
4<->6,1,0.25,0.25,包含
5<->9,1,0.6,0.6,依据
