社区ID,节点数量,核心节点数,内部关系数,总权重,平均权重,子图密度,平均度数,平均加权度数,节点类型分布
0,127,11,443,333.35,0.7525,0.0554,7.22,5.4591,Action:43 | Section:29 | Responsibility:28 | PartyWithResponsibility:11 | Chapter:6
1,98,4,171,90.3,0.5281,0.036,3.65,1.9051,Means:38 | Section:35 | Influence:13 | Actor:4 | Account:3
2,91,3,135,46.8,0.3467,0.033,2.98,1.0308,Section:40 | PunishmentMeasure:11 | Law:11 | RegulatoryAuthority:8 | Action:7
3,86,12,278,181.2,0.6518,0.0761,7.05,4.5494,Section:25 | Action:21 | PartyWithResponsibility:12 | Law:9 | Responsibility:9
4,61,13,129,52.75,0.4089,0.0705,4.31,1.7574,Section:21 | PartyWithResponsibility:13 | Action:12 | Event:9 | Chapter:4
5,30,3,38,16.7,0.4395,0.0874,3.27,1.4867,Section:12 | Chapter:7 | RegulatoryAuthority:4 | Actor:3 | Means:2
6,26,16,28,21.05,0.7518,0.0862,2.23,1.6346,Actor:16 | Section:7 | Chapter:1 | Means:1 | Account:1
7,23,6,29,15.85,0.5466,0.1146,2.57,1.387,Section:9 | Action:6 | PartyWithResponsibility:6 | Chapter:1 | Event:1
8,14,2,36,12.1,0.3361,0.3956,6.29,1.9071,Action:6 | PunishmentMeasure:3 | PartyWithResponsibility:2 | Section:2 | RegulatoryAuthority:1
9,13,5,29,25.8,0.8897,0.3718,4.92,4.1808,Actor:5 | Section:4 | Means:3 | Influence:1
10,11,1,10,5.05,0.505,0.1818,2.18,1.0682,Law:7 | Responsibility:2 | Section:1 | PartyWithResponsibility:1
11,7,2,10,5.7,0.57,0.4762,3.0,1.6571,Punishment:2 | Violation:2 | PartyWithResponsibility:2 | Section:1
12,4,2,4,3.9,0.975,0.6667,2.75,2.4875,PartyWithResponsibility:2 | Responsibility:1 | Section:1
13,4,3,3,2.85,0.95,0.5,1.75,1.475,PartyWithResponsibility:3 | Section:1
14,4,1,4,2.5,0.625,0.6667,2.25,1.3,Action:1 | AdvantageHolder:1 | Section:1 | DisadvantageHolder:1
全局统计,599,84,1427,858.35,0.6015,0.008,4.76,2.8659,模块度: 0.7138
